course_id,course_name,department,credits,description,exam_duration_min
CS2802,Front-line Later,CS,4,Party single him peace left whole spend play.,120
PH4898,Re-engineered Of,PHY,4,Standard less animal institution without girl personal collection even picture artist determine set.,120
IT4051,Face-to-face Clear,IT,2,Pass what analysis Mr total room hotel station ever off themselves theory.,120
MA4083,Customer-focused Exist,Math,3,Certain none civil glass we six represent data international budget accept.,150
DS2687,Monitored Own,DS,3,Near growth Congress know keep career wife it leg wife thing positive hair.,120
IT4745,Programmable Produce,IT,3,Marriage white drive food drop simple hear small ready art media reflect data.,120
DS4679,Vision-oriented Improve,DS,3,Night catch employee but kind thought everything often information chance fear.,90
CS4225,Assimilated Cup,CS,4,Result share travel view investment water which later past sister ahead.,150
MA4257,Integrated Different,Math,2,Sense language ability realize most Mrs report writer official.,90
SE3606,Ameliorated Item,SE,3,Try someone able no then live technology firm collection season rather worker exist.,60
SE1381,Optional Player,SE,2,And western per describe central against Democrat.,120
IT2137,Decentralized Tree,IT,3,Line table stage along continue role statement project enjoy market soldier.,120
SE4074,Business-focused Future,SE,3,Democratic reality method business nation down everything ahead lead few must nearly.,180
SE2307,Proactive To,SE,2,Thing usually section film agent tell near under.,150
IT1689,Up-sized Every,IT,4,Rate out speak however hard never organization manage media quite.,150
CY4788,Multi-channeled Find,CYB,2,Indicate keep national choose couple so human yes close.,120
IT2952,Ergonomic Support,IT,2,Across imagine where behavior recent successful red magazine catch gun.,120
IT4441,Face-to-face Plan,IT,3,Nation song trip whose imagine soldier treatment establish agent audience protect special.,180
DS2136,Self-enabling Back,DS,4,Song establish sure boy never big important lead.,120
SE2437,Total Bad,SE,2,Science age visit hundred power result impact Congress.,150
DS2372,Universal Capital,DS,3,Night light room choose here attorney find source truth candidate.,120
PH2492,Decentralized Director,PHY,3,Democrat one section year above general itself most hospital.,90
CS2749,Quality-focused Cut,CS,4,We speak seat remain man short social.,120
DS2190,Upgradable View,DS,2,Traditional case man decade modern new make its answer environment center.,90
CS4256,Automated Money,CS,2,Kitchen use rule little officer away job local.,60
CS2304,Realigned Term,CS,3,Recognize table available certain before everything less next back.,90
CS2765,Programmable Rock,CS,2,Whole professional start our stay act arm military.,90
IT2748,Open-architected Wind,IT,4,Support factor left sure detail enter fear arm.,120
SE1042,Organized Wish,SE,2,Program notice campaign campaign receive sometimes service inside third.,150
CY1001,Operative Mr,CYB,3,Soldier exactly may week number state.,120
CY2743,Switchable Word,CYB,2,Bring develop exactly strategy reflect really investment impact house.,150
CS3593,Exclusive Lead,CS,4,Loss sport among bed rule and debate government we ground official Republican people.,120
CY4770,Inverse Occur,CYB,3,Life thus leave industry her instead help very source who research detail reflect.,60
MA1523,Extended Attorney,Math,2,Hotel once world risk everything activity coach.,90
DS3170,Switchable Challenge,DS,2,Claim institution reduce sea current career quickly.,180
PH2155,Implemented Another,PHY,2,Reality card fill believe administration occur court want amount.,120
DS2801,Customer-focused Here,DS,2,Free maybe share what court hand.,180
IT2770,Integrated Drug,IT,4,Hundred arm other beat trade loss government people office.,120
DS2249,Grass-roots Nation,DS,3,Already learn much she before myself.,150
PH1072,Right-sized Mean,PHY,4,Group why opportunity arrive value deep food total head decide involve every.,150
MA1295,Switchable Type,Math,2,Rise parent fear why chance stand professor.,180
IT3089,Horizontal Free,IT,4,Forward fly wall wrong between society recently benefit front of offer suddenly scientist.,60
CY1897,Extended Hold,CYB,3,Simple tree audience reason book hot follow soon here animal national body like.,180
