classroom_id,building_name,room_number,capacity,room_type
1,Bldg O,382,83,Lab
2,Bldg U,120,87,Auditorium
3,Bldg S,463,88,Lab
4,Bldg G,168,280,Auditorium
5,Bldg F,414,55,Lab
6,Bldg Y,346,38,Auditorium
7,Bldg Y,438,73,Auditorium
8,Bldg A,409,237,Lab
9,Bldg B,305,186,Seminar
10,Bldg W,401,278,Lecture Hall
11,Bldg W,238,85,Lab
12,Bldg X,332,136,Lab
13,Bldg Q,465,179,Auditorium
14,Bldg E,133,49,Auditorium
15,Bldg V,241,278,Auditorium
16,Bldg E,106,247,Auditorium
17,Bldg Z,313,68,Auditorium
18,Bldg J,412,257,Auditorium
19,Bldg I,115,151,Seminar
20,Bldg V,319,120,Lecture Hall
21,Bldg Z,265,285,Auditorium
22,Bldg W,412,170,Lecture Hall
23,Bldg S,187,91,Lecture Hall
24,Bldg D,164,248,Auditorium
25,Bldg H,137,223,Lecture Hall
26,Bldg B,262,81,Lecture Hall
27,Bldg U,294,212,Seminar
28,Bldg M,466,199,Seminar
29,Bldg D,285,104,Lecture Hall
30,Bldg A,168,146,Lab
31,Bldg Q,378,256,Lecture Hall
32,Bldg L,124,77,Lab
33,Bldg K,237,225,Lecture Hall
34,Bldg V,360,254,Seminar
35,Bldg Z,201,282,Lab
36,Bldg P,337,117,Auditorium
37,Bldg B,280,101,Lecture Hall
38,Bldg I,479,282,Auditorium
39,Bldg D,214,154,Auditorium
40,Bldg S,461,183,Lab
41,Bldg G,349,168,Seminar
42,Bldg N,399,168,Lab
43,Bldg I,167,198,Seminar
44,Bldg A,107,144,Auditorium
45,Bldg Z,391,135,Seminar
46,Bldg Y,291,138,Seminar
47,Bldg M,223,207,Auditorium
48,Bldg I,457,250,Lab
49,Bldg D,230,179,Lecture Hall
50,Bldg L,273,212,Seminar
51,Bldg D,388,141,Seminar
52,Bldg D,483,238,Lecture Hall
53,Bldg Q,458,136,Seminar
54,Bldg E,360,143,Lecture Hall
55,Bldg F,144,44,Lab
56,Bldg F,143,100,Auditorium
57,Bldg J,376,229,Seminar
58,Bldg D,303,53,Seminar
59,Bldg H,153,90,Seminar
60,Bldg V,377,239,Lecture Hall
61,Bldg W,475,265,Auditorium
62,Bldg F,126,142,Lab
63,Bldg X,429,139,Auditorium
64,Bldg X,237,167,Auditorium
65,Bldg S,258,237,Lecture Hall
66,Bldg L,386,156,Seminar
67,Bldg B,198,76,Lecture Hall
68,Bldg C,162,146,Seminar
69,Bldg A,484,98,Lab
70,Bldg E,238,214,Lecture Hall
71,Bldg H,167,68,Seminar
72,Bldg F,375,194,Auditorium
73,Bldg G,186,65,Lecture Hall
74,Bldg X,409,292,Auditorium
75,Bldg F,128,202,Auditorium
76,Bldg X,306,67,Seminar
77,Bldg Y,260,288,Auditorium
78,Bldg Z,481,184,Lab
79,Bldg D,307,193,Seminar
80,Bldg G,469,47,Seminar
81,Bldg S,199,80,Seminar
82,Bldg S,288,248,Auditorium
83,Bldg U,424,156,Auditorium
84,Bldg V,163,196,Auditorium
85,Bldg E,470,296,Seminar
86,Bldg W,408,145,Auditorium
87,Bldg R,370,132,Seminar
88,Bldg K,197,246,Seminar
89,Bldg Q,426,47,Lecture Hall
90,Bldg D,436,152,Lab
91,Bldg J,216,260,Auditorium
92,Bldg F,334,91,Lab
93,Bldg P,124,112,Seminar
94,Bldg H,257,157,Auditorium
95,Bldg K,160,50,Lab
96,Bldg B,321,49,Lab
97,Bldg F,318,97,Lecture Hall
98,Bldg E,312,272,Lecture Hall
99,Bldg D,370,89,Seminar
100,Bldg W,468,227,Seminar
