course_id,course_name,department,credits,description,exam_duration_min
SE2852,Fully-configurable Over,SE,4,Education technology box assume man officer.,90
CY4425,Seamless Great,CYB,2,Charge specific we be easy newspaper.,120
DS1078,Assimilated Court,DS,2,Paper so difficult mission late kind team wrong figure perform participant.,120
MA4033,Pre-emptive Subject,Math,4,Way debate decision produce church community avoid.,120
DS2970,Fundamental Up,DS,4,Impact ready like allow explain executive.,60
IT3877,Right-sized Only,IT,3,Author do enough social operation sound cup boy different chance enter.,150
PH3652,Advanced Bed,PHY,3,Author coach film see notice eye buy.,150
CY2727,Front-line Middle,CYB,3,Record wall matter management ball always it focus economy.,90
IT2234,Realigned Rock,IT,3,Director purpose team onto again share start.,120
PH3508,Phased Military,PHY,3,American series like prepare trouble consider one play man before girl four prove.,90
IT1560,Organized Financial,IT,2,Form really explain war spend nearly lawyer fire.,120
PH3335,Face-to-face Either,PHY,2,Break significant ten stay ability thank left approach million performance.,90
PH1378,Integrated Home,PHY,2,Personal service data near until just recognize building win participant dream citizen.,120
DS3598,Phased Guy,DS,4,Add impact different success box water positive child usually factor relate indeed lot.,150
PH3514,Optimized Give,PHY,3,During necessary himself two meet these tell everybody so increase various meet.,150
IT1337,Multi-channeled Experience,IT,3,Executive fear only your majority chance.,90
CS4029,Integrated Camera,CS,3,Machine forward several help usually thank wonder draw him task improve fish.,180
CS2662,Up-sized Call,CS,4,Relate specific history professional star wonder manager already maybe opportunity thank them.,90
DS4146,User-friendly Road,DS,2,Between treat address century that wide avoid sit enter perhaps however.,60
CY1166,Enterprise-wide Single,CYB,2,System system teacher here first responsibility service.,120
CS1717,Polarized Perform,CS,2,Along attention piece TV young section its better plant their kitchen really.,120
DS2975,Virtual Fear,DS,3,Animal someone fall hear certainly most.,150
MA1752,Cross-platform Dream,Math,4,Radio conference company participant him raise marriage on discussion point least project together.,150
IT2319,Multi-lateral Address,IT,3,Top quality citizen kid generation onto police interesting economic suddenly current.,120
PH3641,Triple-buffered Eye,PHY,3,Table blood high grow fast recognize against stop how account.,180
SE1577,Balanced Final,SE,4,Treat seat strategy total simply discover.,90
PH3710,Total Trouble,PHY,2,Despite couple economy sense should race carry best physical always.,120
MA1413,Versatile Turn,Math,3,Almost half capital travel force indeed customer skill theory hand maybe.,90
DS1700,Advanced Manager,DS,3,Store either station loss southern second full boy while.,180
IT3349,Polarized Create,IT,3,Senior difficult put purpose however suffer newspaper.,90
