classroom_id,building_name,room_number,capacity,room_type
1,Bldg Q,379,277,Seminar
2,Bldg D,139,247,Lab
3,Bldg W,400,279,Seminar
4,Bldg G,142,75,Lab
5,Bldg O,120,246,Lab
6,Bldg P,146,294,Lab
7,Bldg B,283,118,Auditorium
8,Bldg X,347,164,Seminar
9,Bldg F,262,173,Lab
10,Bldg R,148,163,Auditorium
11,Bldg L,179,108,Auditorium
12,Bldg D,440,292,Auditorium
13,Bldg T,484,288,Seminar
14,Bldg N,400,132,Lab
15,Bldg D,141,247,Auditorium
16,Bldg D,427,137,Lab
17,Bldg L,376,244,Lab
18,Bldg S,309,187,Lab
19,Bldg J,157,156,Auditorium
20,Bldg B,497,64,Seminar
21,Bldg Q,276,206,Lab
22,Bldg E,117,116,Lab
23,Bldg D,183,88,Lab
24,Bldg L,260,82,Seminar
25,Bldg J,124,295,Lab
26,Bldg L,229,57,Seminar
27,Bldg J,286,245,Lab
28,Bldg J,478,263,Lab
29,Bldg P,134,38,Auditorium
30,Bldg A,330,189,Lab
