course_id,course_name,department,credits,description,exam_duration_min
CS2963,Front-line Later,CS,3,Later organization beautiful go trip general opportunity.,120
PH1005,Re-engineered Of,PHY,4,Them decision throughout owner miss another talk method region.,150
IT3535,Face-to-face Clear,IT,4,Treat national see many factor knowledge professor everyone.,60
MA1093,Customer-focused Exist,Math,4,Want hope decide probably him loss notice surface nothing.,120
DS2274,Monitored Own,DS,3,Better address we head study rest without person behavior.,120
IT3760,Programmable Produce,IT,4,Green music authority crime something rock money his meet need community challenge voice.,120
DS4249,Vision-oriented Improve,DS,4,Author prevent forget close follow enough radio.,120
CS2650,Assimilated Cup,CS,4,Gun affect bag I probably argue strategy beautiful series.,150
MA4234,Integrated Different,Math,4,Store everything approach lose arm between bad Congress.,120
SE4357,Ameliorated Item,SE,3,Keep just every gas event store hear practice.,120
SE2789,Optional Player,SE,2,Service discussion political above image recently energy meet hot large bed.,90
IT1691,Decentralized Tree,IT,2,Say available hospital win throughout good player up so certain.,120
SE3636,Business-focused Future,SE,4,Hit child shoulder its three lose behavior voice treat civil why spring by.,120
SE1055,Proactive To,SE,2,Former watch nor relationship fish his society these better.,120
IT4571,Up-sized Every,IT,2,Site environmental action million risk military.,90
CY2551,Multi-channeled Find,CYB,4,Professor painting shoulder affect work letter.,180
IT4039,Ergonomic Support,IT,3,Huge blood party also picture leg my option forget office bag beyond new.,150
IT3943,Face-to-face Plan,IT,4,Against suffer type learn scientist four traditional really us build summer attack.,150
DS2890,Self-enabling Back,DS,2,Item any offer tonight involve speech national form rule nearly.,150
SE4885,Total Bad,SE,3,Cut news use happy pressure hand.,90
DS4184,Universal Capital,DS,3,Federal art thank front turn value bar happy adult method one future black.,120
PH4533,Decentralized Director,PHY,3,Political ball question shoulder majority such majority even write nice fly recently pass.,120
CS1375,Quality-focused Cut,CS,3,Ten laugh leader beyond weight number fact cell behind site customer.,150
DS2935,Upgradable View,DS,2,Who rather nice party single him peace left whole.,90
CS4806,Automated Money,CS,4,Standard less animal institution without girl personal collection even picture artist determine set.,90
CS4250,Realigned Term,CS,2,Pass what analysis Mr total room hotel station ever off themselves theory.,120
CS2815,Programmable Rock,CS,3,Certain none civil glass we six represent data international budget accept.,60
IT1281,Open-architected Wind,IT,4,Near growth Congress know keep career wife it leg wife thing positive hair.,120
SE2128,Organized Wish,SE,3,Marriage white drive food drop simple hear small ready art media reflect data.,90
CY3288,Operative Mr,CYB,2,Night catch employee but kind thought everything often information chance fear.,120
CY3566,Switchable Word,CYB,2,Result share travel view investment water which later past sister ahead.,150
CS4696,Exclusive Lead,CS,3,Sense language ability realize most Mrs report writer official.,120
