timeslot_id,day,start_time,end_time,duration_min
1,2025-12-01,10:00,13:00,180
2,2025-12-01,10:30,13:30,180
3,2025-12-01,11:00,14:00,180
4,2025-12-02,10:30,13:30,180
5,2025-12-02,11:00,14:00,180
6,2025-12-03,11:00,14:00,180
7,2025-12-03,12:00,15:00,180
8,2025-12-04,10:00,13:00,180
9,2025-12-04,11:00,14:00,180
10,2025-12-05,10:30,13:30,180
11,2025-12-05,11:30,14:30,180
12,2025-12-08,10:30,13:30,180
13,2025-12-08,11:00,14:00,180
14,2025-12-09,11:00,14:00,180
15,2025-12-09,11:30,14:30,180
16,2025-12-10,10:00,13:00,180
17,2025-12-10,10:30,13:30,180
18,2025-12-10,11:30,14:30,180
19,2025-12-11,10:00,13:00,180
20,2025-12-11,11:30,14:30,180
21,2025-12-12,10:00,13:00,180
22,2025-12-12,11:30,14:30,180
23,2025-12-12,12:00,15:00,180
24,2025-12-15,11:00,13:00,120
25,2025-12-16,10:00,13:00,180
26,2025-12-16,11:30,14:30,180
27,2025-12-16,12:30,14:30,120
28,2025-12-17,10:30,13:30,180
29,2025-12-17,11:00,14:00,180
30,2025-12-17,12:00,15:00,180
31,2025-12-18,11:00,14:00,180
32,2025-12-19,10:00,13:00,180
33,2025-12-19,10:30,13:30,180
34,2025-12-19,12:00,15:00,180
35,2025-12-22,10:00,13:00,180
36,2025-12-22,11:30,14:30,180
37,2025-12-23,10:00,13:00,180
38,2025-12-23,11:30,14:30,180
39,2025-12-24,10:00,13:00,180
40,2025-12-24,11:00,14:00,180
41,2025-12-24,12:00,15:00,180
42,2025-12-25,10:00,13:00,180
43,2025-12-25,11:30,14:30,180
44,2025-12-26,11:00,14:00,180
45,2025-12-26,12:00,15:00,180
46,2025-12-29,10:00,13:00,180
47,2025-12-29,12:00,15:00,180
48,2025-12-30,11:30,14:30,180
49,2025-12-31,10:30,13:30,180
50,2025-12-31,12:00,15:00,180
51,2026-01-01,10:30,13:30,180
52,2026-01-01,11:00,14:00,180
53,2026-01-01,12:00,15:00,180
54,2026-01-02,10:00,12:30,150
55,2026-01-02,11:00,14:00,180
56,2026-01-02,12:00,15:00,180
57,2026-01-05,10:00,13:00,180
58,2026-01-05,10:30,13:30,180
59,2026-01-05,11:00,14:00,180
60,2026-01-06,11:30,14:30,180
61,2026-01-06,12:00,15:00,180
62,2026-01-07,10:30,13:30,180
63,2026-01-07,11:30,14:30,180
64,2026-01-08,11:00,14:00,180
65,2026-01-08,11:30,14:30,180
66,2026-01-09,10:30,13:30,180
67,2026-01-09,11:00,14:00,180
68,2026-01-12,10:30,13:30,180
69,2026-01-12,11:30,14:30,180
70,2026-01-13,10:30,13:30,180
71,2026-01-13,11:30,14:30,180
72,2026-01-13,12:00,15:00,180
73,2026-01-14,10:30,13:30,180
74,2026-01-14,11:30,14:30,180
75,2026-01-14,12:00,15:00,180
76,2026-01-15,10:30,13:30,180
77,2026-01-15,11:30,14:30,180
78,2026-01-15,12:00,15:00,180
79,2026-01-16,10:30,13:30,180
80,2026-01-16,11:00,14:00,180
