course_id,course_name,department,credits,description,exam_duration_min
1,Course 001,PHYS,4,Toward reflect she along wonder wear our partner ball necessary water establish among along medical.,120
2,Course 002,MATH,1,It field sure will again area similar specific move team radio scene.,120
3,Course 003,CHEM,4,Lot hit help by red near break brother past tough goal gas truth draw begin.,90
4,Course 004,ECON,2,Dinner section thousand soldier nothing yard address.,120
5,Course 005,MATH,2,Spend baby camera Congress analysis glass pretty each factor paper.,150
6,Course 006,PSYC,3,Price prevent baby voice day relate spend today teach kitchen few happen necessary than.,120
7,Course 007,ECON,4,Money environment recently me approach too relationship perform evidence data.,90
8,Course 008,IT,1,Success minute figure need but right small along dog.,120
9,Course 009,BUS,3,Practice law box material almost everyone his still be everything particular manager television.,120
10,Course 010,CS,4,Know difference here process mouth produce all several visit travel senior from stock.,150
11,Course 011,ECON,3,Special opportunity serious game stop its into role save arm body.,90
12,Course 012,BIO,2,Weight usually explain yard movement interest rest shoulder employee whether level yeah draw.,120
13,Course 013,ECON,1,Exactly radio ever your side fast number.,150
14,Course 014,PSYC,3,Past gun process site special part buy.,180
15,Course 015,ECON,3,Produce structure summer kitchen admit across already grow point news impact often bag today necessary.,90
16,Course 016,ECON,3,Key election skill employee manager dinner company that.,180
17,Course 017,HIST,4,Discussion pressure contain medical key fish network.,120
18,Course 018,PSYC,3,Article research else either question tax government responsibility over glass.,150
19,Course 019,HIST,3,Medical both back daughter now stop race author.,90
20,Course 020,BIO,1,Then central force small friend impact present likely wind perform civil and us.,120
21,Course 021,MATH,3,Agent participant space member sit meet ok general Democrat store allow risk high young bad back.,120
22,Course 022,MATH,1,Not young piece safe much building these sometimes parent process.,120
23,Course 023,ECON,3,Kid especially structure fall during during should gun lay security break drop run they gun.,120
24,Course 024,CHEM,1,Night baby gun machine discover skill discover still would understand each training.,120
25,Course 025,CS,4,Program painting somebody game brother impact measure chance management thing cup conference law coach industry she.,120
26,Course 026,MATH,2,Sea call alone issue real wrong car term truth toward great I news Republican.,90
27,Course 027,BUS,2,Front station from participant blue reveal available TV wear.,120
28,Course 028,PSYC,1,Piece scientist job serious record safe rich operation star meeting charge account or.,120
29,Course 029,PSYC,1,Here just meet open war best father game nor today oil such interview follow.,180
30,Course 030,IT,4,Serious well among war think room issue everything they fire girl close.,180
31,Course 031,CS,2,Event keep those eye truth writer send under project cell deal.,120
32,Course 032,MATH,3,Senior agree total whether music sometimes according strategy ago data walk number rule minute store.,90
33,Course 033,HIST,4,Truth respond try build threat manage beautiful carry everything protect why.,120
34,Course 034,CHEM,3,Season develop avoid church friend law save public.,120
35,Course 035,PSYC,1,Religious fire under item usually some fish success.,150
36,Course 036,BIO,2,Along play account carry heavy wall pull enter charge sport safe executive cup then week tax.,120
37,Course 037,BIO,2,About attack newspaper decade concern industry enjoy herself on point.,90
38,Course 038,ECON,2,Most west there subject themselves property make picture our myself far despite while to.,90
39,Course 039,BUS,1,Information language easy interesting computer what produce girl huge campaign think.,120
40,Course 040,BIO,3,Over reach ahead environmental Democrat surface important no follow push in speak interesting end.,150
41,Course 041,CHEM,2,Environmental rock fund stand final important occur.,120
42,Course 042,BUS,2,Movie single book why particularly can music wear again.,120
43,Course 043,PHYS,2,Bed relate treatment short need pressure million gun cup church movie teacher.,120
44,Course 044,HIST,2,Face claim hear including need eat add suddenly sense money.,180
45,Course 045,CHEM,1,Huge machine church feeling discover significant easy evening buy six pretty capital scientist establish.,120
46,Course 046,HIST,2,Baby mean region run after sea must try.,150
47,Course 047,BIO,4,Save society create paper fine food mention age.,150
48,Course 048,ECON,3,Learn between wide office heavy involve develop image everything expect reflect.,120
49,Course 049,PHYS,3,Each admit market hour head national board difference window however discussion have none poor.,150
50,Course 050,ECON,4,Century picture base night debate walk order base idea study model style.,120
51,Course 051,PHYS,3,Arrive management in scientist strong already ready out the environmental.,120
52,Course 052,ECON,1,Sense some nation fine present focus remember method teach yeah.,90
53,Course 053,PSYC,2,Tv international back camera add mind building culture.,120
54,Course 054,BIO,2,Although interest color sort maintain see natural human.,120
55,Course 055,BIO,2,Brother yet result they even follow threat nor coach face rate.,90
56,Course 056,PHYS,1,Weight he page line decision form section you until clearly resource listen fish conference like year.,90
57,Course 057,PSYC,1,Find could really Mrs former article light.,120
58,Course 058,CHEM,2,At player third general add cover exist treatment international.,120
59,Course 059,CHEM,4,Happen short various night political dark or bill describe condition nor.,120
60,Course 060,CS,3,Someone onto she form sign option everyone southern the.,120
61,Course 061,IT,4,Decide able discussion describe upon past century little a back wide case southern international.,180
62,Course 062,CS,1,Force matter bring nice help history listen find miss most third success western watch.,180
63,Course 063,HIST,2,Represent style night majority smile rate newspaper itself give agent hand.,90
64,Course 064,HIST,3,Side generation interest pay then turn course hear value yet cultural guess crime only.,120
65,Course 065,CS,2,Behind hard effect TV parent almost ever long analysis receive education personal.,120
66,Course 066,CS,2,Statement tell until young place make list themselves seek space although ahead thus check save.,150
67,Course 067,PSYC,2,Bar street budget kitchen report fire teach everyone system.,120
68,Course 068,CHEM,1,Scene four public tonight today college worry reveal hand add professor indicate property article cover seven.,150
69,Course 069,PHYS,4,Rock base kitchen every cup measure common section study.,90
70,Course 070,ECON,4,Find night brother letter structure beat us.,120
71,Course 071,MATH,1,Break bed role control option whole short small.,150
72,Course 072,IT,2,Point least theory wall film race wall ten section scene.,120
73,Course 073,PHYS,3,Apply relationship concern cell firm difficult could third computer far recently.,150
74,Course 074,HIST,4,Begin great hair sign mission stop reach color wear one choose.,90
75,Course 075,PSYC,4,Decision reduce get specific someone debate record mean stop some before significant election life all.,90
76,Course 076,IT,2,Military piece little level follow nor probably top.,90
77,Course 077,CHEM,3,Red picture thank account instead friend possible beyond tree fill level control.,90
78,Course 078,HIST,4,Keep pattern order reason room list during.,90
79,Course 079,BUS,4,Over lot husband always upon doctor various until blue international especially officer.,120
80,Course 080,PSYC,2,Agreement mention two though whole wall cup win sell candidate four whether wife finally she soon.,120
81,Course 081,IT,4,How leave probably customer common film continue tax job right child new simply above.,120
82,Course 082,MATH,2,General likely rather recognize tree protect story relationship several.,120
83,Course 083,MATH,1,Hold five very hundred force executive push their.,90
84,Course 084,IT,4,Hour author major science only develop part should hard fund statement particular seem trip population catch.,120
85,Course 085,IT,4,Analysis few behavior himself conference character find push lose end.,90
86,Course 086,PHYS,2,Conference huge military blood south get run pretty identify southern claim can medical.,150
87,Course 087,CHEM,2,Activity president prove institution approach interesting score break southern traditional maybe sit Republican such.,90
88,Course 088,PHYS,2,Born condition interest service that bag according way remain election method pass.,120
89,Course 089,BIO,1,Itself let always test least anyone out hard international push short age environment fall.,150
90,Course 090,MATH,4,Adult foot player other ground already school eat base behind risk plan issue.,120
91,Course 091,IT,1,Generation leader pay try tough usually star notice American force although.,120
92,Course 092,BUS,3,With point think high woman bad until see institution against wear either present third student item.,120
93,Course 093,CHEM,1,Soldier number yet past much soldier reason any.,90
94,Course 094,MATH,3,List set join section sing everybody provide painting travel question evening imagine affect increase candidate.,120
95,Course 095,HIST,4,Leg so play best different remember determine particularly rock participant leave.,150
96,Course 096,HIST,3,Play forget home upon actually future get know left sea decision recently pull.,180
97,Course 097,BUS,3,Idea produce number bad main world bar security morning fight seem.,120
98,Course 098,IT,4,Purpose ahead person coach goal it yet age wind news make doctor TV capital.,120
99,Course 099,ECON,4,We but how deep book eye ten short worker without nearly goal design too everything side.,150
100,Course 100,BUS,4,Black those whether seven fish movie hot teacher manager less step last under concern eye mouth.,120
