classroom_id,building_name,room_number,capacity,room_type
1,Bldg A,100,198,Lecture Hall
2,Bldg B,101,73,Lecture Hall
3,Bldg C,102,80,Lecture Hall
4,Bldg D,103,108,Lecture Hall
5,Bldg E,104,197,Auditorium
6,Bldg F,105,38,Lecture Hall
7,Bldg G,106,156,Classroom
8,Bldg H,107,42,Lecture Hall
9,Bldg I,108,53,Auditorium
10,Bldg J,109,193,Classroom
11,Bldg A,110,128,Classroom
12,Bldg B,111,106,Lecture Hall
13,Bldg C,112,87,Lecture Hall
14,Bldg D,113,79,Lecture Hall
15,Bldg E,114,88,Lecture Hall
16,Bldg F,115,125,Lecture Hall
17,Bldg G,116,102,Classroom
18,Bldg H,117,111,Lecture Hall
19,Bldg I,118,39,Lecture Hall
20,Bldg J,119,30,Lecture Hall
21,Bldg A,120,195,Auditorium
22,Bldg B,121,166,Classroom
23,Bldg C,122,85,Classroom
24,Bldg D,123,98,Classroom
25,Bldg E,124,153,Lecture Hall
26,Bldg F,125,61,Classroom
27,Bldg G,126,138,Lecture Hall
28,Bldg H,127,126,Lecture Hall
29,Bldg I,128,48,Lecture Hall
30,Bldg J,129,82,Classroom
31,Bldg A,130,176,Classroom
32,Bldg B,131,141,Lecture Hall
33,Bldg C,132,123,Classroom
34,Bldg D,133,47,Classroom
35,Bldg E,134,141,Lecture Hall
36,Bldg F,135,40,Classroom
37,Bldg G,136,105,Classroom
38,Bldg H,137,157,Classroom
39,Bldg I,138,89,Classroom
40,Bldg J,139,101,Lecture Hall
41,Bldg A,140,198,Classroom
42,Bldg B,141,140,Lecture Hall
43,Bldg C,142,178,Classroom
44,Bldg D,143,180,Lecture Hall
45,Bldg E,144,154,Classroom
46,Bldg F,145,85,Auditorium
47,Bldg G,146,53,Auditorium
48,Bldg H,147,113,Classroom
49,Bldg I,148,131,Classroom
50,Bldg J,149,170,Classroom
