timeslot_id,day,start_time,end_time,duration_min
1,2025-10-21,09:00,11:30,150
2,2025-10-21,12:00,14:00,120
3,2025-10-21,14:30,17:00,150
4,2025-10-21,17:30,19:00,90
5,2025-10-21,19:30,22:00,150
6,2025-10-21,22:30,01:30,180
7,2025-10-22,02:00,04:00,120
8,2025-10-22,04:30,07:30,180
9,2025-10-22,08:00,10:00,120
10,2025-10-22,10:30,12:00,90
11,2025-10-22,12:30,14:00,90
12,2025-10-22,14:30,17:00,150
13,2025-10-22,17:30,19:30,120
14,2025-10-22,20:00,22:00,120
15,2025-10-22,22:30,00:30,120
16,2025-10-23,01:00,03:00,120
17,2025-10-23,03:30,05:30,120
18,2025-10-23,06:00,08:30,150
19,2025-10-23,09:00,11:00,120
20,2025-10-23,11:30,14:00,150
21,2025-10-23,14:30,16:30,120
22,2025-10-23,17:00,20:00,180
23,2025-10-23,20:30,22:00,90
24,2025-10-23,22:30,00:00,90
25,2025-10-24,00:30,01:30,60
26,2025-10-24,02:00,04:00,120
27,2025-10-24,04:30,06:30,120
28,2025-10-24,07:00,09:30,150
29,2025-10-24,10:00,12:00,120
30,2025-10-24,12:30,13:30,60
31,2025-10-24,14:00,16:00,120
32,2025-10-24,16:30,19:30,180
33,2025-10-24,20:00,21:30,90
34,2025-10-24,22:00,23:30,90
35,2025-10-25,00:00,01:30,90
36,2025-10-25,02:00,04:00,120
37,2025-10-25,04:30,06:00,90
38,2025-10-25,06:30,08:30,120
39,2025-10-25,09:00,11:00,120
40,2025-10-25,11:30,13:30,120
41,2025-10-25,14:00,16:00,120
42,2025-10-25,16:30,17:30,60
43,2025-10-25,18:00,21:00,180
44,2025-10-25,21:30,23:30,120
45,2025-10-26,00:00,02:00,120
46,2025-10-26,02:30,03:30,60
47,2025-10-26,04:00,06:00,120
48,2025-10-26,06:30,09:00,150
49,2025-10-26,09:30,10:30,60
50,2025-10-26,11:00,12:30,90
51,2025-10-26,13:00,14:30,90
52,2025-10-26,15:00,17:00,120
53,2025-10-26,17:30,20:30,180
54,2025-10-26,21:00,23:00,120
55,2025-10-26,23:30,01:30,120
56,2025-10-27,02:00,04:30,150
57,2025-10-27,05:00,07:30,150
58,2025-10-27,08:00,09:30,90
59,2025-10-27,10:00,11:30,90
60,2025-10-27,12:00,14:00,120
61,2025-10-27,14:30,17:00,150
62,2025-10-27,17:30,19:30,120
63,2025-10-27,20:00,22:00,120
64,2025-10-27,22:30,01:00,150
65,2025-10-28,01:30,03:00,90
66,2025-10-28,03:30,05:30,120
67,2025-10-28,06:00,07:00,60
68,2025-10-28,07:30,10:00,150
69,2025-10-28,10:30,12:30,120
70,2025-10-28,13:00,14:30,90
71,2025-10-28,15:00,16:00,60
72,2025-10-28,16:30,19:00,150
73,2025-10-28,19:30,22:00,150
74,2025-10-28,22:30,00:30,120
75,2025-10-29,01:00,02:30,90
76,2025-10-29,03:00,06:00,180
77,2025-10-29,06:30,09:00,150
78,2025-10-29,09:30,11:30,120
79,2025-10-29,12:00,14:00,120
80,2025-10-29,14:30,17:30,180
