course_id,course_name,department,credits,description,exam_duration_min
CY2069,Cross-platform Effect,CYB,4,Political contain kitchen political able customer.,120
CS1575,Configurable Actually,CS,3,Finish bank citizen might wide store shake suggest rate.,150
SE3278,Team-oriented Discover,SE,4,Later them card community or foreign example base happen hour.,180
DS4515,De-engineered Edge,DS,4,War this difference way type positive phone trade wind cup.,120
PH4662,Stand-alone Media,PHY,3,Anyone peace outside chance when color note add.,60
CS1384,Synchronized Score,CS,2,Itself turn law purpose budget require course technology site explain management candidate.,90
DS2303,Persevering Past,DS,3,Outside yet executive quality industry impact certainly face.,120
IT1613,Assimilated Sport,IT,4,Dog late eat old positive beat light the window.,180
PH2231,Devolved Crime,PHY,4,Rather require remain save eight believe arrive four dog traditional you.,120
MA3134,Multi-layered Score,Math,4,Remember special accept mean herself within provide car throughout American conference college manage.,150
DS2122,Sharable Avoid,DS,2,There car fish most center bring analysis campaign the strong.,120
SE1270,Networked Nice,SE,3,Unit executive theory party seven enough fine throughout firm yes.,90
IT3039,Automated Soldier,IT,2,New type PM key country approach consumer.,120
CY1211,Future-proofed Occur,CYB,4,Employee relationship job yet until American ground remember magazine manage suffer term.,120
MA1906,Re-engineered Reveal,Math,4,Glass data exist strong seek state none.,120
SE1002,Configurable Simply,SE,2,Defense your above short Congress turn east marriage behind forget expect wonder business.,120
SE1347,Centralized Himself,SE,3,Opportunity week student child ball store process law western order.,90
PH2744,Business-focused History,PHY,4,Forget analysis performance laugh water yourself.,150
PH4402,Persistent History,PHY,4,Can tell soon executive sometimes season natural own begin effort drive side human.,90
DS4097,Multi-lateral Operation,DS,3,System clear single expect sell pressure.,180
SE1395,Triple-buffered Security,SE,2,Fear song save TV tough page grow.,90
MA1139,Vision-oriented Good,Math,4,Story mention majority those live none institution.,90
MA2352,Front-line Range,Math,4,Specific pass its international American game less difference rather choice manager.,120
MA3608,Polarized Partner,Math,3,Positive base life bad soon feel worker range feel eat into notice necessary true.,120
CS3986,Total Size,CS,4,Blue interesting behind produce nothing effect effort bank me box product conference.,120
DS4291,Virtual Head,DS,2,Successful and indicate region finish right serious last.,120
MA2368,Future-proofed Land,Math,3,Game truth special decision back word else pull its.,180
CY1671,Grass-roots Hotel,CYB,2,Accept bring commercial local reality than.,120
DS1105,Monitored More,DS,4,Rise field spend pattern real white push source because career course staff receive.,120
SE1587,Progressive Security,SE,4,Teacher decide possible power job personal so course.,120
DS1260,Public-key We,DS,4,Show challenge instead bring total school knowledge machine after.,60
IT4442,Implemented Hold,IT,3,One cut notice street anything account piece require woman support say.,120
CS2073,Synergistic Yeah,CS,2,Room yourself already hundred message right very toward test discussion art affect office.,90
MA4291,Cloned Begin,Math,2,As throughout individual list manager voice get recently again explain court gas discussion.,120
CY3212,Configurable Fight,CYB,3,Onto rate two table resource life third rich.,60
PH3155,Compatible Fact,PHY,4,Where strategy pull same somebody son suddenly perform executive see.,180
MA2818,Customizable Model,Math,2,Can current paper beyond indeed year field decide another adult thing ground.,120
CS4275,Distributed Product,CS,4,Company teacher me southern front box dinner no.,150
CY1173,Ameliorated Rest,CYB,2,Election future great another there environment character real middle prove relationship unit.,120
DS1370,Quality-focused Hand,DS,3,Sometimes while sense window sit participant teach big none medical cold.,60
SE2693,Operative Quite,SE,2,That treat church factor kid media run.,150
CY2577,Ameliorated At,CYB,3,Child hair standard but dark wide shoulder.,120
PH3181,Ameliorated Quite,PHY,3,Early speak game measure be head.,150
PH3950,Managed Gun,PHY,2,Guess professor charge send instead direction soon including important learn system.,120
IT3349,Streamlined General,IT,3,Want kind show response military attorney full I sign its.,120
CY2029,Pre-emptive Same,CYB,4,Service produce political total around place require produce mind fast I.,150
