classroom_id,building_name,room_number,capacity,room_type
1,Bldg A,100,162,Classroom
2,Bldg B,101,140,Classroom
3,Bldg C,102,116,Classroom
4,Bldg D,103,113,Classroom
5,Bldg E,104,36,Lecture Hall
6,Bldg F,105,116,Lecture Hall
7,Bldg G,106,39,Lecture Hall
8,Bldg H,107,90,Classroom
9,Bldg I,108,177,Classroom
10,Bldg J,109,30,Classroom
11,Bldg A,110,77,Classroom
12,Bldg B,111,125,Lecture Hall
13,Bldg C,112,75,Classroom
14,Bldg D,113,40,Classroom
15,Bldg E,114,73,Classroom
16,Bldg F,115,152,Classroom
17,Bldg G,116,156,Classroom
18,Bldg H,117,155,Classroom
19,Bldg I,118,133,Lecture Hall
20,Bldg J,119,42,Classroom
21,Bldg A,120,108,Classroom
22,Bldg B,121,119,Classroom
23,Bldg C,122,151,Classroom
24,Bldg D,123,76,Lecture Hall
25,Bldg E,124,135,Lecture Hall
26,Bldg F,125,169,Classroom
27,Bldg G,126,150,Lecture Hall
28,Bldg H,127,98,Lecture Hall
29,Bldg I,128,72,Classroom
30,Bldg J,129,70,Classroom
31,Bldg A,130,125,Lecture Hall
32,Bldg B,131,163,Classroom
33,Bldg C,132,167,Auditorium
34,Bldg D,133,36,Classroom
35,Bldg E,134,49,Auditorium
36,Bldg F,135,196,Classroom
37,Bldg G,136,100,Classroom
38,Bldg H,137,147,Classroom
39,Bldg I,138,72,Classroom
40,Bldg J,139,99,Auditorium
41,Bldg A,140,127,Auditorium
42,Bldg B,141,172,Lecture Hall
43,Bldg C,142,33,Classroom
44,Bldg D,143,71,Classroom
45,Bldg E,144,47,Lecture Hall
46,Bldg F,145,110,Classroom
47,Bldg G,146,129,Classroom
48,Bldg H,147,67,Classroom
49,Bldg I,148,173,Classroom
50,Bldg J,149,132,Lecture Hall
