classroom_id,building_name,room_number,capacity,room_type
1,Bldg D,230,235,Lab
2,Bldg Q,228,58,Lecture Hall
3,Bldg E,441,159,Lecture Hall
4,Bldg P,317,199,Lab
5,Bldg Y,381,153,Lab
6,Bldg L,295,218,Auditorium
7,Bldg W,276,94,Lecture Hall
8,Bldg J,352,193,Auditorium
9,Bldg R,424,204,Lecture Hall
10,Bldg X,233,201,Lecture Hall
11,Bldg B,422,108,Seminar
12,Bldg C,197,112,Auditorium
13,Bldg K,260,99,Seminar
14,Bldg P,464,154,Lecture Hall
15,Bldg D,480,188,Lecture Hall
16,Bldg M,468,127,Lab
17,Bldg J,226,140,Lab
18,Bldg O,436,107,Auditorium
19,Bldg T,473,89,Lab
20,Bldg X,490,207,Lecture Hall
21,Bldg J,108,250,Auditorium
22,Bldg V,397,108,Lecture Hall
23,Bldg O,497,262,Lecture Hall
24,Bldg H,405,184,Lab
25,Bldg R,193,75,Lab
