timeslot_id,day,start_time,end_time,duration_min
1,2025-10-21,09:00,11:30,150
2,2025-10-21,12:00,14:00,120
3,2025-10-21,14:30,16:00,90
4,2025-10-21,16:30,18:30,120
5,2025-10-21,19:00,20:30,90
6,2025-10-21,21:00,22:00,60
7,2025-10-21,22:30,00:00,90
8,2025-10-22,00:30,02:00,90
9,2025-10-22,02:30,04:30,120
10,2025-10-22,05:00,07:30,150
11,2025-10-22,08:00,10:00,120
12,2025-10-22,10:30,13:00,150
13,2025-10-22,13:30,15:30,120
14,2025-10-22,16:00,17:00,60
15,2025-10-22,17:30,19:00,90
16,2025-10-22,19:30,22:30,180
17,2025-10-22,23:00,01:00,120
18,2025-10-23,01:30,04:30,180
19,2025-10-23,05:00,07:00,120
20,2025-10-23,07:30,10:00,150
21,2025-10-23,10:30,13:00,150
22,2025-10-23,13:30,16:30,180
23,2025-10-23,17:00,18:00,60
24,2025-10-23,18:30,21:30,180
25,2025-10-23,22:00,00:00,120
26,2025-10-24,00:30,03:00,150
27,2025-10-24,03:30,05:30,120
28,2025-10-24,06:00,08:00,120
29,2025-10-24,08:30,10:30,120
30,2025-10-24,11:00,13:30,150
