course_id,course_name,department,credits,description,exam_duration_min
1,Course 001,CS,2,Matter fund effort job baby relate agree story money chair Congress decide I study.,180
2,Course 002,PSYC,1,Rock Congress relationship compare poor lot blood avoid let he thought international building man.,150
3,Course 003,MATH,3,Clearly single citizen third head eye student identify network allow compare billion interesting.,180
4,Course 004,PSYC,1,Account once southern cost together section yet worker some add you three continue however many back.,150
5,Course 005,CHEM,2,National than late third service TV south ball under knowledge sing thousand rate.,120
6,Course 006,MATH,3,Fact cup continue strong contain true heavy.,120
7,Course 007,BIO,4,Table television key none site item drop new music when.,120
8,Course 008,CS,2,Scientist series foot article thing past partner.,180
9,Course 009,PSYC,4,Foot recognize despite painting camera red yard manage must beautiful thus brother hold girl answer.,150
10,Course 010,PHYS,4,Stage arrive store responsibility laugh position station law coach popular green day majority perhaps phone.,120
11,Course 011,PHYS,2,Age reveal media national feeling able security year send suffer against and.,120
12,Course 012,IT,1,Professor two north success commercial another control.,120
13,Course 013,PHYS,3,Tough since war think draw allow else occur.,120
14,Course 014,PHYS,1,Once community church whatever easy community whatever.,150
15,Course 015,MATH,4,Group American special town south general wind box those difficult.,90
16,Course 016,BUS,2,Exist someone raise almost talk ok spend speak expect situation perhaps sense.,120
17,Course 017,MATH,4,Cover class sure hour clear interview account Mr get second.,180
18,Course 018,IT,3,Yourself discover call whole especially establish class often know four out fine themselves over care.,120
19,Course 019,CHEM,2,Brother drug market cup loss finally he civil.,120
20,Course 020,PHYS,4,Himself other term political not top game.,120
21,Course 021,BIO,4,One Congress land reflect between head reveal campaign.,90
22,Course 022,PSYC,4,Talk ever five property meet truth edge bill town red three international large.,120
23,Course 023,CS,1,Ago number citizen score mouth environmental themselves establish course relate.,90
24,Course 024,CHEM,2,Government discover forward act behind decide sign beyond.,90
25,Course 025,CS,4,Federal program any surface magazine option point end.,90
26,Course 026,CS,4,Wind hear scientist team check behavior nation remain effect something focus use social opportunity save wide.,120
27,Course 027,CS,2,Sign low among manage him off which thing serious open worry.,90
28,Course 028,IT,1,Great group pay arm future respond program whether ever third four me six.,180
29,Course 029,PHYS,2,Most stop must win fly join soldier career small adult meet huge by once collection.,90
30,Course 030,BUS,3,Under television point five health size hot new common thank across.,120
31,Course 031,BUS,3,Mouth good somebody value if series writer language.,150
32,Course 032,IT,4,In open edge Congress actually surface college class two beautiful now company activity add reduce.,90
33,Course 033,BUS,1,Hour story kitchen care huge energy store garden stuff while guess create at.,120
34,Course 034,ECON,2,Positive affect discuss avoid say base detail have customer people care.,150
35,Course 035,CHEM,2,Student behavior wear develop system reason information again more left probably.,120
36,Course 036,PSYC,4,Hundred hundred type security store area wish that hospital despite moment vote.,120
