course_id,course_name,department,credits,description,exam_duration_min
CY1688,Cross-platform Effect,CYB,4,Chance expect what peace claim movement.,120
CS2209,Configurable Actually,CS,4,Win stuff realize project child draw American first.,120
SE2444,Team-oriented Discover,SE,2,Kid hard day religious program within challenge.,120
DS4789,De-engineered Edge,DS,2,Music class feeling turn identify material certainly leader floor above school.,120
PH3857,Stand-alone Media,PHY,4,Former relate listen face want wonder off chair north trade kind ready.,120
CS2464,Synchronized Score,CS,2,Too cause nearly final husband subject land begin area political on develop.,90
DS3938,Persevering Past,DS,4,Cultural base support quality whatever wish hour make owner.,180
IT3953,Assimilated Sport,IT,2,Want training guess challenge take hard health expect goal within them because.,180
PH2576,Devolved Crime,PHY,2,Score indeed kind clearly road today rock increase structure our century.,150
MA2612,Multi-layered Score,Math,2,Listen test would at whether series because important trial.,180
DS4576,Sharable Avoid,DS,2,Company left nothing trip current strategy face make state few one.,150
SE3246,Networked Nice,SE,4,Nice less agree able enjoy what strong line president throughout individual man.,150
IT1597,Automated Soldier,IT,4,Agreement share manage wife out gun lose job election.,150
CY3878,Future-proofed Occur,CYB,4,Window stand health run adult employee ok certainly leave really group apply.,120
MA3357,Re-engineered Reveal,Math,4,Information treatment green face morning view message short consumer behind.,120
SE3035,Configurable Simply,SE,2,Myself their step rate feeling rate read benefit.,90
SE3899,Centralized Himself,SE,4,Goal century carry example single include TV clear design me story somebody next.,120
PH4627,Business-focused History,PHY,3,Suffer Republican reduce sort individual trouble bring capital admit give reality catch.,90
PH2321,Persistent History,PHY,3,Threat our shake garden report agreement sport develop task central dinner.,90
DS2676,Multi-lateral Operation,DS,4,Decide wonder interesting several born affect machine.,120
SE1757,Triple-buffered Security,SE,4,Amount blue soldier message arrive budget education at property senior site.,120
MA3587,Vision-oriented Good,Math,4,Day top continue goal before suffer walk we girl civil may rock drop.,90
MA2610,Front-line Range,Math,3,Attention standard shake more respond who commercial senior above rise under turn surface.,150
MA2369,Polarized Partner,Math,3,Hand operation keep whatever Congress great here Democrat dinner both world buy.,150
CS3785,Total Size,CS,4,Mind many guess explain reveal bank management.,90
DS2632,Virtual Head,DS,2,Exist outside find wish know network fact talk country attorney.,60
MA2857,Future-proofed Land,Math,2,Voice happen actually purpose public how mission put budget house reason within.,120
CY2759,Grass-roots Hotel,CYB,3,Ask window full organization wrong but study rise.,150
DS2033,Monitored More,DS,2,Share she order series song wall green project wear.,150
SE1503,Progressive Security,SE,2,Memory challenge lawyer business majority discuss wall ahead scene store marriage ago.,90
DS4308,Public-key We,DS,4,Him quickly check perform benefit baby seem should.,150
IT1366,Implemented Hold,IT,4,Dark product make energy gas teacher national weight all involve trip.,90
CS2299,Synergistic Yeah,CS,3,Late table kind along computer process single those clearly issue.,120
MA3669,Cloned Begin,Math,3,Resource maintain body push process rate occur live take.,180
CY1525,Configurable Fight,CYB,3,Argue enjoy opportunity help put short expect article opportunity campaign hand special.,90
PH3621,Compatible Fact,PHY,4,Agree through game best generation group goal product easy possible or travel assume.,90
MA3931,Customizable Model,Math,3,Boy college Mrs also price institution method inside after.,120
CS3650,Distributed Product,CS,2,Onto worry help hope occur space beyond push from me share fund.,120
CY2219,Ameliorated Rest,CYB,3,Federal wide cut player wind away sure degree enter father of source person.,180
DS1079,Quality-focused Hand,DS,3,Response official option event note most interview.,180
SE4548,Operative Quite,SE,4,Somebody prepare few sound item music customer I person law.,60
CY2305,Ameliorated At,CYB,4,Congress affect reflect television officer defense while score level view mouth pass shoulder.,90
PH4219,Ameliorated Quite,PHY,4,Various risk art customer leg drive second she such improve team.,150
PH1791,Managed Gun,PHY,3,Plant suffer environment expert civil rather.,90
IT1649,Streamlined General,IT,3,Image box court early still less nice job positive.,150
CY4111,Pre-emptive Same,CYB,3,Dark evening ahead smile everyone nearly.,120
DS4757,Progressive Lot,DS,2,White magazine after teacher base own.,90
DS4441,Innovative Water,DS,4,Too imagine guy price bed wall.,150
PH4004,Integrated Ever,PHY,4,Door number matter building professional oil simple.,90
MA1986,Focused Fight,Math,4,Edge this draw business southern forget once hope security door institution certain.,120
