classroom_id,building_name,room_number,capacity,room_type
1,Bldg X,222,139,Lab
2,Bldg P,476,149,Auditorium
3,Bldg A,101,250,Lab
4,Bldg Z,469,179,Auditorium
5,Bldg W,182,182,Seminar
6,Bldg U,292,247,Auditorium
7,Bldg X,202,145,Auditorium
8,Bldg K,157,252,Lab
9,Bldg K,380,224,Lab
10,Bldg J,292,268,Auditorium
11,Bldg L,303,153,Lecture Hall
12,Bldg N,292,180,Auditorium
13,Bldg W,398,64,Lecture Hall
14,Bldg K,485,60,Auditorium
15,Bldg D,304,59,Seminar
16,Bldg K,162,200,Seminar
17,Bldg I,230,118,Lab
18,Bldg U,297,108,Seminar
19,Bldg C,141,192,Lab
20,Bldg I,191,137,Lab
21,Bldg F,180,66,Lecture Hall
22,Bldg H,488,180,Lecture Hall
23,Bldg W,259,178,Auditorium
24,Bldg R,450,67,Seminar
25,Bldg N,320,102,Lab
26,Bldg C,301,94,Auditorium
27,Bldg J,474,217,Seminar
28,Bldg K,376,97,Seminar
29,Bldg A,195,37,Lecture Hall
30,Bldg T,212,102,Seminar
31,Bldg J,365,156,Lecture Hall
32,Bldg D,100,237,Seminar
33,Bldg H,160,44,Lecture Hall
34,Bldg U,129,267,Seminar
35,Bldg U,384,119,Lab
36,Bldg R,276,122,Lecture Hall
37,Bldg F,104,34,Lab
38,Bldg E,395,104,Lecture Hall
39,Bldg Z,361,156,Lecture Hall
40,Bldg L,386,199,Auditorium
41,Bldg Y,165,237,Lab
42,Bldg Q,449,171,Lab
43,Bldg C,171,57,Lecture Hall
44,Bldg I,327,135,Lab
45,Bldg W,323,228,Lab
46,Bldg B,187,202,Seminar
47,Bldg C,249,187,Lecture Hall
48,Bldg U,120,167,Auditorium
49,Bldg A,288,166,Lecture Hall
50,Bldg D,370,298,Seminar
51,Bldg V,223,191,Lecture Hall
52,Bldg D,314,191,Auditorium
53,Bldg S,480,120,Seminar
54,Bldg A,193,162,Auditorium
55,Bldg L,215,221,Auditorium
56,Bldg B,147,261,Auditorium
57,Bldg V,316,240,Seminar
58,Bldg J,181,208,Auditorium
59,Bldg X,440,240,Lecture Hall
60,Bldg J,216,38,Seminar
61,Bldg X,365,102,Auditorium
62,Bldg F,175,95,Lab
63,Bldg V,228,206,Auditorium
64,Bldg R,168,233,Seminar
65,Bldg D,320,69,Lab
66,Bldg N,111,82,Lab
67,Bldg J,133,163,Lecture Hall
68,Bldg K,300,291,Auditorium
69,Bldg Q,317,30,Seminar
70,Bldg W,231,267,Lab
71,Bldg X,272,82,Auditorium
72,Bldg B,266,102,Lecture Hall
73,Bldg U,402,200,Auditorium
74,Bldg X,278,226,Lab
75,Bldg Q,438,266,Seminar
76,Bldg D,186,31,Lecture Hall
77,Bldg B,179,43,Seminar
78,Bldg U,261,159,Seminar
79,Bldg X,132,180,Auditorium
80,Bldg M,367,100,Lab
81,Bldg W,255,201,Lecture Hall
82,Bldg H,246,101,Lecture Hall
83,Bldg K,313,281,Lecture Hall
84,Bldg L,132,77,Lab
85,Bldg D,250,206,Auditorium
86,Bldg S,487,173,Lecture Hall
87,Bldg P,350,57,Lecture Hall
88,Bldg Z,329,193,Lecture Hall
89,Bldg E,301,69,Lab
90,Bldg M,287,175,Seminar
91,Bldg G,473,201,Lab
92,Bldg J,471,49,Lab
93,Bldg W,263,88,Lecture Hall
94,Bldg I,468,109,Auditorium
95,Bldg L,132,280,Lecture Hall
96,Bldg K,227,89,Lecture Hall
97,Bldg N,220,278,Seminar
