classroom_id,building_name,room_number,capacity,room_type
1,Bldg A,100,175,Classroom
2,Bldg B,101,71,Lecture Hall
3,Bldg C,102,88,Lecture Hall
4,Bldg D,103,178,Classroom
5,Bldg E,104,72,Classroom
6,Bldg F,105,164,Classroom
7,Bldg G,106,176,Auditorium
8,Bldg H,107,110,Classroom
9,Bldg I,108,73,Auditorium
10,Bldg J,109,168,Classroom
11,Bldg A,110,109,Classroom
12,Bldg B,111,61,Lecture Hall
13,Bldg C,112,102,Auditorium
14,Bldg D,113,140,Classroom
15,Bldg E,114,188,Lecture Hall
16,Bldg F,115,103,Auditorium
17,Bldg G,116,155,Lecture Hall
18,Bldg H,117,47,Lecture Hall
19,Bldg I,118,127,Classroom
20,Bldg J,119,41,Classroom
21,Bldg A,120,164,Lecture Hall
22,Bldg B,121,83,Lecture Hall
23,Bldg C,122,138,Lecture Hall
24,Bldg D,123,95,Classroom
25,Bldg E,124,106,Classroom
26,Bldg F,125,65,Classroom
27,Bldg G,126,69,Lecture Hall
28,Bldg H,127,100,Lecture Hall
29,Bldg I,128,100,Lecture Hall
30,Bldg J,129,176,Classroom
31,Bldg A,130,76,Classroom
32,Bldg B,131,113,Classroom
33,Bldg C,132,123,Classroom
34,Bldg D,133,162,Lecture Hall
35,Bldg E,134,68,Lecture Hall
36,Bldg F,135,84,Classroom
37,Bldg G,136,176,Lecture Hall
38,Bldg H,137,146,Classroom
39,Bldg I,138,71,Lecture Hall
40,Bldg J,139,188,Classroom
41,Bldg A,140,176,Lecture Hall
42,Bldg B,141,150,Lecture Hall
43,Bldg C,142,84,Auditorium
44,Bldg D,143,53,Lecture Hall
45,Bldg E,144,188,Lecture Hall
46,Bldg F,145,62,Lecture Hall
47,Bldg G,146,150,Lecture Hall
48,Bldg H,147,135,Classroom
49,Bldg I,148,69,Classroom
50,Bldg J,149,130,Lecture Hall
