timeslot_id,day,start_time,end_time,duration_min
1,2025-10-21,09:00,11:30,150
2,2025-10-21,12:00,14:00,120
3,2025-10-21,14:30,16:00,90
4,2025-10-21,16:30,19:00,150
5,2025-10-21,19:30,22:00,150
6,2025-10-21,22:30,00:00,90
7,2025-10-22,00:30,03:30,180
8,2025-10-22,04:00,06:00,120
9,2025-10-22,06:30,08:30,120
10,2025-10-22,09:00,12:00,180
11,2025-10-22,12:30,14:30,120
12,2025-10-22,15:00,17:30,150
13,2025-10-22,18:00,20:00,120
14,2025-10-22,20:30,23:00,150
15,2025-10-22,23:30,01:30,120
16,2025-10-23,02:00,03:30,90
17,2025-10-23,04:00,06:00,120
18,2025-10-23,06:30,08:30,120
19,2025-10-23,09:00,10:00,60
20,2025-10-23,10:30,11:30,60
21,2025-10-23,12:00,14:00,120
22,2025-10-23,14:30,15:30,60
23,2025-10-23,16:00,17:30,90
24,2025-10-23,18:00,20:30,150
25,2025-10-23,21:00,23:30,150
26,2025-10-24,00:00,02:30,150
27,2025-10-24,03:00,05:00,120
28,2025-10-24,05:30,08:00,150
29,2025-10-24,08:30,10:30,120
30,2025-10-24,11:00,12:30,90
31,2025-10-24,13:00,14:30,90
32,2025-10-24,15:00,17:00,120
33,2025-10-24,17:30,19:00,90
34,2025-10-24,19:30,21:30,120
35,2025-10-24,22:00,01:00,180
36,2025-10-25,01:30,02:30,60
37,2025-10-25,03:00,04:00,60
38,2025-10-25,04:30,07:30,180
39,2025-10-25,08:00,10:00,120
40,2025-10-25,10:30,12:00,90
41,2025-10-25,12:30,15:00,150
42,2025-10-25,15:30,18:00,150
43,2025-10-25,18:30,20:30,120
44,2025-10-25,21:00,23:00,120
45,2025-10-25,23:30,01:00,90
46,2025-10-26,01:30,02:30,60
47,2025-10-26,03:00,05:00,120
48,2025-10-26,05:30,07:00,90
49,2025-10-26,07:30,09:30,120
50,2025-10-26,10:00,12:30,150
51,2025-10-26,13:00,14:00,60
52,2025-10-26,14:30,16:30,120
53,2025-10-26,17:00,18:30,90
54,2025-10-26,19:00,21:30,150
55,2025-10-26,22:00,23:30,90
56,2025-10-27,00:00,02:00,120
57,2025-10-27,02:30,04:30,120
58,2025-10-27,05:00,07:00,120
59,2025-10-27,07:30,09:30,120
60,2025-10-27,10:00,12:30,150
61,2025-10-27,13:00,15:00,120
62,2025-10-27,15:30,18:00,150
63,2025-10-27,18:30,21:30,180
64,2025-10-27,22:00,00:00,120
65,2025-10-28,00:30,02:30,120
66,2025-10-28,03:00,04:00,60
67,2025-10-28,04:30,07:00,150
68,2025-10-28,07:30,09:30,120
69,2025-10-28,10:00,12:00,120
70,2025-10-28,12:30,13:30,60
71,2025-10-28,14:00,16:30,150
72,2025-10-28,17:00,19:00,120
73,2025-10-28,19:30,21:30,120
74,2025-10-28,22:00,23:30,90
75,2025-10-29,00:00,03:00,180
76,2025-10-29,03:30,05:00,90
77,2025-10-29,05:30,07:00,90
78,2025-10-29,07:30,10:00,150
79,2025-10-29,10:30,13:30,180
80,2025-10-29,14:00,15:30,90
