classroom_id,building_name,room_number,capacity,room_type
1,Bldg Q,379,206,Auditorium
2,Bldg D,139,116,Lecture Hall
3,Bldg W,400,88,Auditorium
4,Bldg G,142,82,Seminar
5,Bldg O,120,295,Auditorium
6,Bldg P,146,57,Auditorium
7,Bldg B,283,245,Seminar
8,Bldg X,347,263,Lab
9,Bldg F,262,38,Seminar
10,Bldg R,148,189,Auditorium
11,Bldg L,179,185,Auditorium
12,Bldg D,440,126,Auditorium
13,Bldg T,484,210,Lecture Hall
14,Bldg N,400,140,Seminar
15,Bldg D,141,148,Lecture Hall
16,Bldg D,427,146,Seminar
17,Bldg L,376,246,Auditorium
18,Bldg S,309,200,Lecture Hall
19,Bldg J,157,132,Seminar
20,Bldg B,497,280,Auditorium
21,Bldg Q,276,246,Auditorium
22,Bldg E,117,281,Lab
23,Bldg D,183,227,Lecture Hall
24,Bldg L,260,135,Auditorium
25,Bldg J,124,238,Auditorium
26,Bldg L,229,118,Seminar
27,Bldg J,286,103,Auditorium
28,Bldg J,478,151,Lecture Hall
29,Bldg P,134,291,Seminar
30,Bldg A,330,183,Lecture Hall
31,Bldg Z,465,133,Auditorium
32,Bldg E,421,154,Seminar
33,Bldg E,469,108,Auditorium
34,Bldg Z,167,207,Seminar
35,Bldg S,419,124,Lecture Hall
36,Bldg N,490,179,Lecture Hall
37,Bldg B,230,129,Lab
38,Bldg J,298,116,Seminar
39,Bldg J,311,291,Lecture Hall
40,Bldg G,296,123,Auditorium
41,Bldg F,215,49,Lecture Hall
42,Bldg X,487,132,Lab
43,Bldg P,481,173,Lecture Hall
44,Bldg A,251,55,Lab
45,Bldg D,421,112,Lab
46,Bldg R,258,74,Lecture Hall
47,Bldg L,417,165,Seminar
48,Bldg C,333,225,Auditorium
49,Bldg B,287,291,Auditorium
50,Bldg N,151,135,Lab
