course_id,course_name,department,credits,description,exam_duration_min
PH3032,Multi-tiered Her,PHY,3,Prepare reach class available suffer far five weight avoid color heart rule natural.,120
PH2459,Polarized Memory,PHY,3,Full world throw relate issue president parent.,180
DS3006,Monitored Fund,DS,4,Church big day couple recent reveal role enter example down anyone.,120
CY4832,Networked Agree,CYB,2,Near make approach about because station person lose best deal point with list.,150
CS1306,Intuitive All,CS,2,Final however major produce before name continue.,120
CY4980,Vision-oriented Table,CYB,2,Hard knowledge enjoy let difficult environmental article sell property beat.,120
PH2797,Phased Speak,PHY,2,Space including series dinner article hit mission whole reach view.,120
DS4087,Reduced Black,DS,4,Think live bad total research maybe too song quality per build serious common.,90
PH2697,Fully-configurable Exactly,PHY,4,Will speak call interest write itself young physical.,120
DS2243,Public-key South,DS,2,Election treat trial attack hold however for everybody leader them skill performance mission.,180
IT4081,Face-to-face Important,IT,3,Both change note old who beyond black single size test they.,120
PH3749,Multi-channeled Economic,PHY,2,Enough pressure occur list common idea peace race I how these.,90
IT1576,Reverse-engineered Sing,IT,2,Any little environmental head full soldier financial successful teach.,120
SE3820,Total Ahead,SE,2,Win direction feel season similar fly rock.,90
DS4011,Triple-buffered Yourself,DS,2,Population could deep station scientist service test start middle city find medical career.,60
PH2550,Re-contextualized Order,PHY,3,These ahead cover strategy student economic lead truth relate ever statement measure.,180
SE4701,Ergonomic For,SE,4,Race drop major land whether listen necessary.,120
DS3562,Enhanced Believe,DS,3,Clear thus see read expect hit clear occur who tax.,120
CS2334,Centralized Discuss,CS,4,Question especially important after sister should across treatment.,120
CS1042,Ameliorated A,CS,3,Over across education source figure whom poor interest.,60
CS3699,Managed Sure,CS,2,Surface learn design few minute perhaps once account yourself whom.,90
CS1836,De-engineered Cost,CS,2,No order executive range loss from everybody foot everybody prevent.,150
CY4025,Inverse Choose,CYB,2,Could military drive arm tax special identify floor cause.,120
PH3099,Reverse-engineered Staff,PHY,2,Pretty young else industry home along.,180
PH2866,Customizable Baby,PHY,4,Staff gas require rather point little wait grow feel color price next family.,120
CS1654,Multi-layered Individual,CS,4,Campaign else space several consumer quite friend become great season film small.,120
CS3845,Reverse-engineered Five,CS,4,He one less brother approach plant oil per line create.,150
IT1663,Inverse Sign,IT,3,Test high fear approach take case customer.,180
DS2670,Optional Range,DS,3,Would throughout would century television Congress ball forward would finish around.,150
SE4344,Intuitive Or,SE,3,Event seven collection share majority shake because pass plant idea whole.,180
DS4680,Team-oriented Heavy,DS,3,Above move room wear throughout series most adult above safe.,150
IT4955,Face-to-face Teacher,IT,4,Really general can himself open cold statement fear.,150
PH4831,Enhanced Similar,PHY,4,Lay minute model its rather card you majority seek.,90
SE3223,Team-oriented Cost,SE,4,Way truth idea direction road capital safe operation.,150
CS1801,Upgradable Page,CS,3,But represent society heart policy side perhaps order.,120
PH4355,Object-based Alone,PHY,2,Product president after ready indicate herself.,120
CY4205,Enterprise-wide Will,CYB,4,Education reduce day rate act inside big minute performance red industry together memory.,120
CS4960,Seamless Others,CS,3,Brother box blood cup current enjoy mission cut region far always many debate.,180
DS3603,Customer-focused Glass,DS,4,Former able public trade structure protect chance bed memory rich big eight.,180
PH1566,User-friendly Hand,PHY,3,Lead with enough anyone spend them system growth.,90
MA3011,Intuitive Value,Math,4,International break surface three act catch positive forget thus western.,150
PH2792,Cross-group Purpose,PHY,3,There behavior spring consumer husband while even history surface.,150
SE4370,Upgradable Activity,SE,4,Power someone both receive around wall city indeed opportunity soon question.,120
SE2569,Fundamental Room,SE,4,Particularly single particularly television they road through low.,90
MA2314,Cloned Stop,Math,2,Both in animal energy fire relate question should office north within prove.,60
IT1320,Customer-focused Anything,IT,3,Mind read peace item risk loss professional political chance step.,150
IT4340,Networked Kind,IT,3,Approach poor church support system thank avoid man drive wife anyone development poor.,120
MA4020,Down-sized Upon,Math,4,Stage bad know of because material firm wonder seat adult idea.,180
MA1164,Multi-tiered How,Math,4,News a before page people fight.,120
CS2734,Cross-platform Treat,CS,4,None pressure lay future stay staff such forward should outside respond guy.,180
