timeslot_id,day,start_time,end_time,duration_min
1,2025-12-01,10:00,13:00,180
2,2025-12-01,11:00,13:30,150
3,2025-12-01,11:30,13:00,90
4,2025-12-02,10:30,13:30,180
5,2025-12-02,11:00,13:00,120
6,2025-12-03,11:00,13:30,150
7,2025-12-03,12:00,13:45,105
8,2025-12-04,10:00,11:45,105
9,2025-12-04,11:00,14:00,180
10,2025-12-05,11:00,12:45,105
11,2025-12-05,11:30,14:30,180
12,2025-12-05,12:30,14:30,120
13,2025-12-08,10:30,13:30,180
14,2025-12-08,11:30,13:15,105
15,2025-12-09,11:00,13:30,150
16,2025-12-09,11:30,14:30,180
17,2025-12-09,13:00,14:30,90
18,2025-12-10,10:00,11:45,105
19,2025-12-10,10:30,13:00,150
20,2025-12-10,11:30,14:30,180
21,2025-12-11,10:00,13:00,180
22,2025-12-11,13:00,14:30,90
23,2025-12-12,10:00,13:00,180
24,2025-12-12,12:00,14:30,150
25,2025-12-12,12:30,14:30,120
26,2025-12-15,11:00,12:30,90
27,2025-12-16,10:00,13:00,180
28,2025-12-16,12:30,14:15,105
29,2025-12-16,13:00,14:30,90
30,2025-12-17,10:30,13:30,180
31,2025-12-17,11:00,14:00,180
32,2025-12-17,13:30,15:00,90
33,2025-12-18,11:00,14:00,180
34,2025-12-18,12:00,14:00,120
35,2025-12-19,10:00,13:00,180
36,2025-12-19,10:30,12:30,120
37,2025-12-19,12:00,15:00,180
38,2025-12-22,10:00,13:00,180
39,2025-12-22,12:30,14:30,120
40,2025-12-23,10:00,11:30,90
41,2025-12-23,11:30,14:30,180
42,2025-12-23,12:30,14:30,120
43,2025-12-24,10:00,13:00,180
44,2025-12-24,11:00,14:00,180
45,2025-12-24,13:30,15:00,90
46,2025-12-25,10:00,11:30,90
47,2025-12-25,11:30,14:30,180
48,2025-12-26,12:00,15:00,180
49,2025-12-29,10:30,12:15,105
50,2025-12-29,12:00,15:00,180
51,2025-12-30,11:30,14:30,180
52,2025-12-30,12:00,13:45,105
53,2025-12-30,12:30,14:15,105
54,2025-12-31,11:00,12:30,90
55,2025-12-31,12:00,15:00,180
56,2026-01-01,10:30,13:30,180
57,2026-01-01,11:00,14:00,180
58,2026-01-01,13:00,14:45,105
59,2026-01-02,10:30,12:00,90
60,2026-01-02,11:00,14:00,180
61,2026-01-02,12:30,15:00,150
62,2026-01-05,10:30,13:00,150
63,2026-01-05,11:00,14:00,180
64,2026-01-06,12:00,15:00,180
65,2026-01-06,12:30,14:00,90
66,2026-01-06,13:00,15:00,120
67,2026-01-07,10:30,13:00,150
68,2026-01-07,11:30,14:30,180
69,2026-01-07,12:00,14:30,150
70,2026-01-08,11:00,14:00,180
71,2026-01-08,12:00,13:45,105
72,2026-01-09,10:30,13:30,180
73,2026-01-09,11:30,14:00,150
74,2026-01-12,10:30,13:30,180
75,2026-01-12,12:30,14:15,105
76,2026-01-12,13:00,14:30,90
77,2026-01-13,10:30,13:30,180
78,2026-01-13,12:30,14:30,120
79,2026-01-13,13:00,14:30,90
80,2026-01-14,11:00,12:30,90
